date,comment
2025-10-27T22:42:14Z,A paz
2025-10-18T14:21:57Z,BOLSONARO V. SE FERROU EM FAZER DEBATE COM ESSE EXPRESIDEIARIO LADRAO SAFADO
2025-10-01T23:34:31Z,"Ladrão nem sabia o que responder....


Agora 2025 estamos vendo mais um novo escândalo no INSS e com irmão dele envolvido"
2025-08-17T21:46:36Z,Como alguém conseguiu ainda votar nesse cachaceiro.
2025-08-16T10:30:48Z,"Bolsonaro errou não foi na Petrobras, foi no INSS."
2025-10-30T00:18:27Z,Que começou em 2019 e o Lula acabou
2025-08-14T07:11:20Z,"De 2011 a 2016 o PT saqueou os fundos de pensao da Petrobrás, Caixa,entre outros."
2025-08-03T06:26:11Z,Até hoje tou esperando a transposição do Francisco
2025-08-02T15:30:48Z,vim do futuro pra falar que Lula tá destruindo o Brasil
2025-06-17T01:53:23Z,"Esse vagabundo mente muito, e ladrão"
2025-06-05T20:19:25Z,Nao foi lula que vendeu duas refinsrias e milhoes em joias  perguntaro para ele o que ele investio este dinheiro
2025-06-23T12:36:23Z,"Lula nao vendeu refinarias, ele deu refinarias do brasil. Lula desviou bilhões da petrobras. Filho do pula enriqueceu da noite pro dia e vc continua morrendo de fome e defendendo ladrão"
2025-07-11T17:52:33Z,​@Luciano0932 Bolsonaro continua sendo ladrão
2025-05-20T22:34:06Z,👂👃😎👃👂 LCC16 🇧🇷🔊 via rádio minha TV 2018 salmo 2026 Rio 2018 para 2026 código de barra mercado financeiro pirâmide financeira tem que consumir tem que pagar com código é esse 🥕🍊🍑🍉🍎🍓🍓🍐🍏🍍🥝🥝🥒🍆🥥🥔🍔🥓🍳🥞🥚🍗🍔🧆🥪🌭🦞🍤🥟🦪🥧🍡🍘🥤🍩🍪🍼🧃🍿🧂🍵🍷🥃🍽️🥢🍹🍸🛑⚓🚏🚙🏍️🦼🛴🚥🚲🏍️🚃🚂🚝🚌🚕🚕🚒🚑🚓🚖🚉🚋🚅🚃🚟🛶🚤🛳️🚆🚆🛶🚟🛩️🛬✈️🛸🚠🚠🏛️🗻🗼🎠🎢🎢🎪🗿🏛️🏡🏠🏚️🏤🏫🏦🏨🏚️🏠🌉🌃🌆⛱️⛺🏘️🧳💺🗺️🛣️🛤️🛤️⛺🏢🏬🏪🎄🎋🎍🎑🧨🎆🎁🎀🎈🎉🎉🎾🥅🏐🥎🏸⚽🏀📢🎖️🥉🥇🎃⛸️🎿🏒🏏🏸🎽🥋🎱🎣🤿🪀♟️🎱🥋🎽🧵🖍️🖼️📸🎩🃏🎴🕹️🎮🎮🎤🥁🪕🎺🎹🧶📽️📹📻🎙️🎚️🎫🎭🎞️🎥💽🖲️🔌📠☎️📱💾🖥️⌨️🖱️🧮🧾💰💳💷💴💵💵💶💳💳💶💴🛍️⚖️🛒🛍️🧷🧸🚽🚿🛏️🪑🩱👘👔🎽👖👖👘🧤🎩🎓⛑️🥼🩳👙👜👛🎒🧢👒👒👞👠👢🥾🧳💼📡🔬🔭🔬📡📡🔭📡📡🧬🩺🩹💊💉🌡️💉🩹🩺💉💉🛰️🛰️🛰️📡🔬🔭📔📒📋📃🗒️📄🗃️📔📝📔🗄️🗃️📑📄🗒️📂📖📘📓📕📐📐📐📐📏📏💊💊💉💉🩹💉🌡️💉💊📡📡🔭🔭🩺🩺🩺🩺⛽⛽⛽⛽
2025-05-19T23:55:26Z,Vazou traição no gorveno roubo   isso e ilegal justiça legal mais o que comprove todos quem estás livre 🤪
2025-05-12T14:33:31Z,Parabéns Lula 🎉
2025-05-04T00:33:57Z,esse lula esta com o ponto no ouvido isso não pode
2025-04-20T10:40:16Z,Lula maior líder político dá história
2025-04-14T15:37:51Z,Bolsonaro você é o pior político corrupto que tem no mundo todo seu Bolsonaro bandido
2025-04-02T00:34:04Z,Você  não  fez  nada  seu  governo  só sabia  almenta  guazulina
2025-02-28T17:35:37Z,"Volta do Império do Brasil JÁ! 👑
A republiqueta bananeira deu errado."
2025-02-26T23:12:09Z,A cala do safado lula
2025-02-24T13:48:29Z,Bolsonaro voce é safado ladrãão lula é o cara ganhador de politica parabens lulínha
2025-02-23T05:31:26Z,Lula será sempre o nosso presidente Lula sempre o melhor para todos nós brasileiros temos orgulho de ser brasileiros
2025-02-21T21:08:17Z,futuro presidente lula terceiro mandato e logo vêm o quarto mandato foi prezo por um juiz mentiroso!
2025-02-15T23:21:13Z,Impressionante como todos aqui estão chamando o Lula de ladrão e o patrimônio do Cara não chega nem a metade dos 51 imóveis comprados em dinheiro vivo pelo Bolsonaro! Dá-me nojo dessa ignorância política desses intelectuais  do WhatsApp.
2025-02-18T01:13:00Z,Essa acusação já foi refutada.
2025-01-05T20:43:23Z,Corrupção houve no governor Lula mais ele fez muito melhor quê o Bolssonaro
2025-01-08T01:10:03Z,Trágico
2024-12-23T11:14:38Z,"Bafo de pitu e aroma de 51 “ as pessoas falam que maduro é mal, mas não é """
2024-12-22T01:09:09Z,Boa noite Luiz Inácio Lula da Silva    Lula manda esse inelegível ir catar latinhas ok
2024-12-13T18:31:31Z,Z
2024-12-08T00:36:17Z,Sou mais o bolsonario no poder ...
2024-10-10T21:29:31Z,"O lula é o melhor presidente que o Brasil já teve, um grande presente..."
2024-10-11T06:06:50Z,"Viva lula,eu te idolatro"
2024-09-09T16:44:54Z,"Luuula deiiiiixa de meeeeetirrr
Kkkkkkkkkkkkkkkkkk"
2024-08-10T08:05:21Z,GENTE O BRASIL TEM NOJO DESTE L4DR4O DESCONDENADO PRESIDIARIO
2024-08-10T08:02:48Z,MITO LIDER MUNDIAL HONESTO
2024-08-10T08:02:10Z,SO VALIA PARA DIREITA ESTAS LEIS E LVL4DR40 ROUBANDO A VONTADE TA GUEBRANDO A PETROBRZ E O BRASIL NOVAMENTE
2024-07-22T11:13:38Z,Lula fez  tanto qe so ve gente dormindo barraco e comendo pouco e sendo mandado  embora de  emprego
2024-07-22T11:11:53Z,Por isso qe a gente ve  tanta pobreza lula porqe vc fez
2024-06-05T05:40:52Z,Lula ladrão
2024-05-11T00:55:18Z,QUE SAUDADES 😔😔😔😔😔
2024-04-26T01:51:13Z,"Lula é tão mentiroso que ele crítica e condena as mentiras da citação falsa de números, sendo que ele mesmo foi flagrado confessando que ele mentia sobre números em Reuniões Globais."
2024-04-15T14:42:21Z,"Um vídeo antigo, mas tão atual. O Lule em 2024 assumiou o domínio sobre a Petrobras e o Petrolão corre solto novamente."
2024-04-05T13:47:31Z,Falou tudo o que ele fez de errado.
