date,comment
2026-06-08T19:41:54Z,wandile quiser de esse homem apaixonar
2026-06-08T18:54:19Z,poxa chico
2026-06-08T13:48:38Z,quando lançar esse musica inicio de o meu namoro escutar repetir vez dedicar ele amor mais lir de o meu vida noivamos mês acabar ouço esse musica de o dor em o peito dor físico mistura lembrança de o bom momento com imenso dor amor como esse nunca mais encontrar mas continuar acreditar em o amor que emocionado encontr
2026-06-08T05:45:26Z,chico repartir mesmo amor kkkkkk
2026-06-04T20:03:37Z,musica linda tbm linda beijo
2026-06-03T20:51:28Z,mau que nem gostar de ela mas musica bom que admitir isso
2026-06-03T14:09:49Z,oque sentir em esse música paz ela aparte de ela resto próprio mundo encarrega
2026-06-03T01:57:13Z,lula bom presidente
2026-06-02T01:17:47Z,chico prestar por o menos inspirar esse música lindíssimo
2026-06-01T01:03:31Z,achei linda
2026-05-29T06:39:52Z,amo esse música independente de o que acontecer
2026-05-29T00:30:02Z,odeio esse mona como ela arrasar escrever cara que chifrar ele
2026-05-28T05:28:40Z,em o primeiro golpe quem
2026-05-27T05:42:26Z,simplesmente amo esse música
2026-05-27T01:18:32Z,esse música lembrar de o único vez que estiver verdadeiramente apaixonar
2026-05-26T20:44:52Z,esse musica tão linda dia de aqui ano ela voltar cantar com nome chico porque bom superar como olhar para trás rir mesmo comtemplar esse obra primo
2026-05-26T19:59:09Z,não de o luisa mas ganhar musica tão intenso de esse nunca mais meu consciência paz depois de o que acontecer
2026-05-25T02:48:07Z,voz de o luiza lindo ainda mais sucesso que desejo
2026-05-17T19:35:20Z,lana del rey baixo orçamento
2026-05-17T03:30:36Z,quem dir hein chico moeda
2026-05-16T05:40:26Z,meu futuro lisboa
2026-05-15T22:41:59Z,esse música bonito por o que carta amor ainda por amor ingrato ainda que errar amar bom
2026-05-15T19:55:14Z,envelheceu igual leite debaixo de o sol
2026-05-15T02:06:15Z,esse música linda sempre homenagem a o buarque
2026-05-15T12:41:25Z,infelizmente não consigir assim também amo música mas não colar fingir
2026-05-14T18:11:25Z,chico música tão bonito tão perfeito isso chico mau
2026-05-30T21:51:25Z,kkkkkkkkkkkkk
2026-05-13T17:51:19Z,homem integro mais menos
2026-05-13T13:59:39Z,rir dms kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
2026-05-08T01:38:31Z,acaso quiser
2026-05-03T13:35:08Z,maio 2026
2026-05-01T16:35:28Z,folia arriscar em o amor apostar em o incerteza pular onde novo meu amor diziam que esse moda passar que monogamia papo doido mas honra cafonar esse povo pinto disfarçar rebusco palavra encantar invento moda bossa novo meu futuro em o rio hmm-mm chico quiser sou de esse mulher apaixonar seu fumaça bar de o cachaça nosso lar chico quiser debato política tomo teu partido repartir amor que repartar comigo hmm chico quiser sou de esse mulher apaixonar seu fumaça bar de o cachaça nosso lar pois chico quiser debato política tomo teu partido repartir amor que repartar comigo comigo
2026-05-01T01:35:04Z,também ameir chico
2026-04-28T16:37:26Z,continuar arrepiar ano depois linda demais
2026-04-27T21:08:26Z,ainda esperar homem apaixonar por de esse jeito igual ela por ele
2026-04-25T02:38:47Z,tão iconic que ele famoso ela virar chacoto até hoje ela tentar espremer sucesso de esse música mesmo odiar ele cuisa sonsa não ngm
2026-04-19T00:49:22Z,sério esse musica passar vibe calmaria
2026-04-17T12:33:32Z,rapaz música tão lindo cara isso
2026-04-18T02:22:57Z,ódio vey
2026-04-19T14:04:22Z,certo ele
2026-04-26T17:32:04Z,​@alvareiscistkkkkkkkkkkkkkkkkkk
2026-05-14T19:53:57Z,quem rir de isso provavelmente mesmo
2026-05-22T15:48:40Z,que ele
2026-05-22T19:10:51Z,​@brenosoares5812trair luiza
2026-04-16T20:35:10Z,música mais lindo de ela
2026-04-18T02:22:50Z,adorar
2026-04-15T19:08:01Z,que maravilhosa esse
2026-04-15T08:59:26Z,2026
2026-04-14T18:34:16Z,música linda
2026-04-11T21:29:59Z,linda meu música preferir
2026-04-11T20:35:42Z,envelheceu como leite em o sol esse música
2026-04-09T23:26:09Z,música mais humilhante mulher
2026-04-10T00:09:03Z,linda
2026-04-09T05:29:31Z,wow
2026-04-09T01:11:06Z,aqui 2026 dia 08/04 22h ouvir este musica este luisa ela maravilhosa
2026-04-08T14:14:04Z,quem não chico em o vida
2026-04-07T07:44:00Z,tenteiiiiii não piada ano depois de o meme mas não conseguir muleque
2026-04-08T21:26:22Z,idiota isso sim zomba de isso mesmo
2026-04-04T08:02:05Z,tentar
2026-04-03T22:45:54Z,neymar em o sul-americana lançar esse brar dps meter gol
2026-04-04T02:46:55Z,kkkkkkkkkkkk koé mano que feministo caçar cara
2026-04-04T11:59:58Z,​@thiagopedro5931ela gostar imprensa também
2026-04-01T13:55:37Z,muito linda mesmo
2026-04-01T01:01:05Z,linda esa letra una expresión sentimiento sin medo julgamiento perjuicio una obra arte que mucha mujeres gustarían expresar olee enhorabueno
2026-03-31T10:00:06Z,provavelmente dever música pequeno mau de ela mas tão pouco significativo que menos ano depois ninguém escutar isso diferença de o importância cultural cantor para outro nossos grande artista imortal seu música enquanto esse outro produto de o indústria mídia passageiro esquecível
2026-03-27T20:32:58Z,chico perder oportunidade engravidar esse mulher feliz kkkk
2026-03-27T20:05:57Z,brutal sobrar nada
2026-03-27T14:15:17Z,amo música menos chico
2026-03-25T13:56:39Z,folia arriscar em o amor apostar em o incerteza pular onde novo meu amor diziam que esse moda passar que monogamia papo doido mas honra cafona esse povo pinto disfarçar rebusco palavra encantar reinvento moda façar bossa nova meu futuro em o rio chico quiser sou de esse mulher apaixonar seu fumaça bar de o cachaça nosso lar chico quiser debato política tomo teu partido repartir amor que repartar comigo chico quiser sou de esse mulher apaixonar seu fumaça bar de o cachaça nosso lar pois chico quiser debato política tomo teu partido repartir amor que repartar comigo comigo
2026-03-23T15:21:56Z,alguém vídeo de ela cantar esse em um entrevista mas com palavrão
2026-03-23T11:02:43Z,obra arte esse música
2026-03-23T08:53:00Z,muito interessante esse música telefone exploração sucesso
2026-03-22T20:04:54Z,seu fumaça mas que casa cabaré queimar kkkkk
2026-03-21T17:05:18Z,2026 certeza que alguém aqui igual igual ele
2026-03-24T07:23:07Z,kkkkkk não onde tar 2023 provavelmente trabalhar mas com todo respeito meme de o chico bom demais pow perdi meu madrugada aqui
2026-04-10T16:59:58Z,parouuu dedico esse música meu namorado até hoje em o karaokê de o festa família kkkkkkkkkkkkkkk
2026-05-22T23:17:27Z,pura poesia
2026-06-04T23:59:13Z,04/06
2026-03-19T18:47:13Z,linda
2026-03-18T22:35:23Z,que música maravilhoso
2026-03-17T14:50:39Z,que música gostoso meu deus pegar gatinha manhoso
2026-03-16T19:09:55Z,que 2026
2026-03-15T20:28:50Z,meu cachorro amo chico
2026-03-08T15:10:27Z,chico repartir amor mas luísa não conta
2026-03-06T16:36:10Z,chico quiser kkkkkkkkkk
2026-03-06T12:51:47Z,chico quiser ksksk ele não
2026-03-05T16:44:44Z,alguém aqui 2026
2026-03-06T10:14:04Z,06/03
2026-02-26T20:52:21Z,amo esse música
2026-02-26T03:49:41Z,pessoa não noção quão bom alguir emocionar
