date,comment
2026-06-04T13:03:12Z,genocídio em o instituição inclusive formação profissional nazismo
2026-03-22T02:01:42Z,citar número bom que lula
2026-02-25T19:40:09Z,lula nunca verdade povo precisar
2026-02-19T17:55:20Z,lula amo sempre bolsonaro
2026-02-19T17:54:37Z,ailton vianas dia santos
2026-02-19T17:53:52Z,paz
2026-02-19T17:53:41Z,24h sempre amo
2026-01-23T01:44:27Z,presidente de o brasil luiz inácio lula de o silva
2026-01-19T16:47:11Z,lula sobre petrobrás crescer demais
2026-01-15T23:06:56Z,matemática de o corrupção
2025-11-15T08:01:32Z,político vaselinar
2025-10-27T22:42:14Z,paz
2025-10-18T14:21:57Z,bolsonaro ferrou debate com esse expresideiario ladrao safado
2025-10-01T23:34:31Z,ladrão nem que responder agora 2025 mais novo escândalo em o inss com irmão de ele envolver
2025-08-17T21:46:36Z,como alguém conseguir ainda votar em esse cachaceiro
2025-08-16T10:30:48Z,bolsonaro errar não em o petrobras em o inss
2025-10-30T00:18:27Z,que começar 2019 lula acabar
2025-08-14T07:11:20Z,2011 2016 saquear fundo pensao de o petrobrás caixa entre outro
2025-08-03T06:26:11Z,até hoje tou esperar transposição de o francisco
2025-08-02T15:30:48Z,vir de o futuro que lula destruir brasil
2025-06-17T01:53:23Z,esse vagabur mente muito ladrãar
2025-06-05T20:19:25Z,nao lula que vender dois refinsria milhoe joia perguntaro para ele que ele investio este dinheiro
2025-06-23T12:36:23Z,lula nao vender refinaria ele refinaria de o brasil lula desviar bilhão de o petrobra filho de o pula enriquecer de o noite dia continuar morrer fome defender ladrão
2025-07-11T17:52:33Z,​@luciano0932 bolsonaro continuar ladr
2025-05-20T22:34:06Z,lcc16 via rádio meu 2018 salmo 2026 rio 2018 para 2026 código barra mercado financeiro pirâmide financeiro que consumir que pagar com código esse 🚲er ️🪑🩱 🩺🩺🩺🩺
2025-05-19T23:55:26Z,vazou traição em o gorveno roubo isso ilegal justiça legal mais que comprovar todo quem estás livre
2025-05-12T14:33:31Z,parabéns lula
2025-05-04T00:33:57Z,esse lula este com ponto em o ouvido isso não
2025-04-20T10:40:16Z,lula grande líder político história
2025-04-14T15:37:51Z,bolsonaro você mau político corrupto que em o mundo todo seu bolsonaro bander
2025-04-02T00:34:04Z,você não nada seu governo almentar guazulina
2025-02-28T17:35:37Z,volta de o império de o brasil republiqueta bananeira errar
2025-02-26T23:12:09Z,cala de o safado lula
2025-02-24T13:48:29Z,bolsonaro voce safar ladrãão lula cara ganhador politico parabem lulínhar
