date,comment
2026-06-04T13:03:12Z,Genocídio nas instituições inclusive de formação profissional. Nazismo. É d+
2026-03-22T02:01:42Z,Citar números e o melhor que o Lula faz 😂😂😂
2026-02-25T19:40:09Z,O lula nunca fala verdade o povo precisa saber
2026-02-19T17:55:20Z,Lula amo sempre bolsonaro
2026-02-19T17:54:37Z,Ailton Vianas dia Santos
2026-02-19T17:53:52Z,A paz
2026-02-19T17:53:41Z,🌝🌦️✨ 24h sempre amo ❤
2026-01-23T01:44:27Z,Melhor presidente do Brasil Luiz Inácio Lula da Silva ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
2026-01-19T16:47:11Z,Lula falar sobre fazer a Petrobrás crescer aí é demais 😂
2026-01-15T23:06:56Z,Matemática da corrupção
2025-11-15T08:01:32Z,Político vaselina
2025-10-27T22:42:14Z,A paz
2025-10-18T14:21:57Z,BOLSONARO V. SE FERROU EM FAZER DEBATE COM ESSE EXPRESIDEIARIO LADRAO SAFADO
2025-10-01T23:34:31Z,"Ladrão nem sabia o que responder....


Agora 2025 estamos vendo mais um novo escândalo no INSS e com irmão dele envolvido"
2025-08-17T21:46:36Z,Como alguém conseguiu ainda votar nesse cachaceiro.
2025-08-16T10:30:48Z,"Bolsonaro errou não foi na Petrobras, foi no INSS."
2025-10-30T00:18:27Z,Que começou em 2019 e o Lula acabou
2025-08-14T07:11:20Z,"De 2011 a 2016 o PT saqueou os fundos de pensao da Petrobrás, Caixa,entre outros."
2025-08-03T06:26:11Z,Até hoje tou esperando a transposição do Francisco
2025-08-02T15:30:48Z,vim do futuro pra falar que Lula tá destruindo o Brasil
2025-06-17T01:53:23Z,"Esse vagabundo mente muito, e ladrão"
2025-06-05T20:19:25Z,Nao foi lula que vendeu duas refinsrias e milhoes em joias  perguntaro para ele o que ele investio este dinheiro
2025-06-23T12:36:23Z,"Lula nao vendeu refinarias, ele deu refinarias do brasil. Lula desviou bilhões da petrobras. Filho do pula enriqueceu da noite pro dia e vc continua morrendo de fome e defendendo ladrão"
2025-07-11T17:52:33Z,​@Luciano0932 Bolsonaro continua sendo ladrão
